Date,Open,High,Low,Close,Adj Close,Volume
2002/1/8,5843.680176,5885.600098,5753.620117,5810.080078,5810.058594,0
2002/1/9,5885.890137,5915.419922,5781.620117,5865.540039,5865.518066,0
2002/1/10,5868.540039,5910.77002,5806.129883,5871.279785,5871.257813,0
2002/1/11,5889.490234,5926.990234,5685.290039,5687.589844,5687.568848,0
2002/1/14,5625.640137,5661.02002,5578.459961,5611.859863,5611.838867,0
2002/1/15,5582.649902,5628.649902,5494.040039,5592.740234,5592.719238,0
2002/1/16,5615.290039,5645.399902,5488.330078,5488.330078,5488.30957,0
2002/1/17,5375.399902,5519.810059,5375.399902,5501.129883,5501.109375,0
2002/1/18,5589.609863,5632.169922,5511.290039,5522.799805,5522.779297,0
2002/1/21,5569.600098,5799.870117,5565.009766,5798.049805,5798.028809,0
2002/1/22,5863.580078,5880.830078,5731.700195,5804.100098,5804.078613,0
2002/1/23,5770.959961,5958.390137,5744.890137,5769.779785,5769.758789,0
2002/1/24,5853.870117,5875.319824,5735.700195,5801.919922,5801.898926,0
2002/1/25,5925.779785,5978.569824,5897.669922,5950.640137,5950.618164,0
2002/1/28,6026.870117,6049.120117,5984.209961,6007.330078,6007.307617,0
2002/1/29,6008.220215,6008.220215,5840.399902,5846.189941,5846.167969,0
2002/1/30,5738.990234,5849.359863,5738.990234,5812.669922,5812.648438,0
2002/1/31,5871.379883,5915.379883,5823.939941,5872.140137,5872.118164,0
2002/2/1,5948.100098,5948.100098,5849.049805,5857.930176,5857.908203,0
2002/2/4,5867.450195,5909.459961,5834.5,5849.850098,5849.828125,0
2002/2/5,5812.700195,5849.02002,5773.069824,5844.25,5844.228027,0
2002/2/6,5887.310059,5978.890137,5887.310059,5926.080078,5926.058105,0
2002/2/7,null,null,null,null,null,null
2002/2/8,null,null,null,null,null,null
2002/2/11,null,null,null,null,null,null
2002/2/12,null,null,null,null,null,null
2002/2/13,null,null,null,null,null,null
2002/2/14,null,null,null,null,null,null
2002/2/15,null,null,null,null,null,null
2002/2/18,6048.649902,6048.649902,5953.75,5968.609863,5968.587891,0
2002/2/19,6000.609863,6000.609863,5857.490234,5861.660156,5861.638184,0
2002/2/20,5817.740234,5838.649902,5685.819824,5692.180176,5692.15918,0
2002/2/21,5766.399902,5769.589844,5640.149902,5656.100098,5656.079102,0
2002/2/22,5562.169922,5632.120117,5532.169922,5609.830078,5609.809082,0
2002/2/25,5644.220215,5663.620117,5499.850098,5510.709961,5510.689453,0
2002/2/26,5607.279785,5629.680176,5492.939941,5499.790039,5499.769531,0
2002/2/27,5536.810059,5699.669922,5536.810059,5696.109863,5696.088867,0
2002/2/28,null,null,null,null,null,null
2002/3/1,5672.029785,5736.220215,5645.799805,5680.779785,5680.758789,0
2002/3/4,5878.459961,5923.209961,5834.259766,5874.47998,5874.458008,0
2002/3/5,6033.709961,6033.709961,5877.410156,5957.75,5957.728027,0
2002/3/6,5955.27002,6097.569824,5942.279785,6097.569824,6097.547363,0
2002/3/7,6130.740234,6137.009766,6037.629883,6048.149902,6048.127441,0
2002/3/8,6077.700195,6125.459961,5971.910156,6011.649902,6011.627441,0
2002/3/11,6088.189941,6212.279785,6078.290039,6196.259766,6196.236328,0
2002/3/12,6198.75,6208.580078,6086.410156,6122.540039,6122.517578,0
2002/3/13,6119.129883,6203.149902,6068.22998,6088.339844,6088.317383,0
2002/3/14,6045.549805,6111.839844,6006.080078,6070.5,6070.477539,0
2002/3/15,6062.129883,6112.640137,5939.459961,5951.450195,5951.428223,0
2002/3/18,5999.600098,6002.330078,5917.069824,5972.109863,5972.087891,0
2002/3/19,5989.72998,6007.660156,5877.390137,5906.72998,5906.708008,0
2002/3/20,5948,6068.290039,5900.339844,6059.060059,6059.037598,0
2002/3/21,5981.77002,6080.450195,5980.810059,6046.52002,6046.497559,0
2002/3/22,6149.160156,6203.209961,6127.040039,6140.419922,6140.397461,0
2002/3/25,6194.160156,6243.509766,6154.72998,6219.169922,6219.146484,0
2002/3/26,6206.180176,6259.810059,6181.75,6242.640137,6242.616699,0
2002/3/27,6303.439941,6326.430176,6139.180176,6147.75,6147.726563,0
2002/3/28,6190.080078,6209.919922,6100.720215,6209.919922,6209.896484,0
2002/3/29,6265.02002,6265.02002,6154.560059,6167.470215,6167.446777,0
2002/4/1,6118.450195,6213.319824,6118.450195,6186.439941,6186.416504,0
2002/4/2,6248.040039,6326.129883,6230.350098,6243.459961,6243.436523,0
2002/4/3,6220.490234,6306.439941,6207.129883,6294.660156,6294.63623,0
2002/4/4,6303.709961,6307.319824,6164.060059,6207.089844,6207.066406,0
2002/4/5,null,null,null,null,null,null
2002/4/8,6204.569824,6246.319824,6176.790039,6190.830078,6190.806641,0
2002/4/9,6222.720215,6235.970215,6068.620117,6069.850098,6069.827637,0
2002/4/10,6036.080078,6082.939941,6016.040039,6059.209961,6059.1875,0
2002/4/11,6098.540039,6145.569824,6065.589844,6073.759766,6073.737305,0
2002/4/12,6036.450195,6182.589844,6009.450195,6182.589844,6182.566406,0
2002/4/15,6226.569824,6261.779785,6179.609863,6196,6195.976563,0
2002/4/16,6249.930176,6292.180176,6222.430176,6257.72998,6257.706055,0
2002/4/17,6398.029785,6413.759766,6344.569824,6390.680176,6390.655762,0
2002/4/18,6434.459961,6450.299805,6373.970215,6387.209961,6387.185547,0
2002/4/19,6397.540039,6460.870117,6392.899902,6448.120117,6448.095703,0
2002/4/22,6470.450195,6484.930176,6424.779785,6462.299805,6462.275391,0
2002/4/23,6440.930176,6462.879883,6372.399902,6390.620117,6390.595703,0
2002/4/24,6403.77002,6460.660156,6379.47998,6455.390137,6455.365723,0
2002/4/25,6440.069824,6464.419922,6348.419922,6355.589844,6355.56543,0
2002/4/26,6359.950195,6369.950195,6266.459961,6306.930176,6306.90625,0
2002/4/29,6244.259766,6258.180176,6175.709961,6205.089844,6205.066406,0
2002/4/30,6201.839844,6214.470215,6035.819824,6065.72998,6065.70752,0
2002/5/1,null,null,null,null,null,null
2002/5/2,6099.27002,6106.77002,5855.959961,5867.830078,5867.808105,0
2002/5/3,5785.72998,5910.669922,5750.819824,5910.319824,5910.297852,0
2002/5/6,5807.5,5807.5,5601.5,5642.47998,5642.458984,0
2002/5/7,5525.299805,5700.689941,5525.299805,5663.97998,5663.958984,0
2002/5/8,5724.060059,5777.470215,5670.359863,5711.529785,5711.508789,0
2002/5/9,5884.279785,5884.279785,5737.180176,5739.279785,5739.258789,0
2002/5/10,5701.180176,5813.330078,5647.75,5807.299805,5807.27832,0
2002/5/13,5751.459961,5775.660156,5718.600098,5742.660156,5742.63916,0
2002/5/14,5801.540039,5822.660156,5729.430176,5755.919922,5755.898926,0
2002/5/15,5836.220215,5933.680176,5815.080078,5910.689941,5910.667969,0
2002/5/16,5883.569824,5883.569824,5791.970215,5801.470215,5801.449219,0
2002/5/17,5830.720215,5865.439941,5779.430176,5789.839844,5789.818848,0
2002/5/20,5739.450195,5739.450195,5564.959961,5574.709961,5574.689453,0
2002/5/21,5497.97998,5540.490234,5429.009766,5443.180176,5443.159668,0
2002/5/22,5444.569824,5544.180176,5421.799805,5541.640137,5541.619629,0
2002/5/23,5536.410156,5595.899902,5526.740234,5549.959961,5549.939453,0
2002/5/24,5588.589844,5718.740234,5586.930176,5706.399902,5706.378906,0
2002/5/27,5624.810059,5733.970215,5623.879883,5729.899902,5729.878906,0
2002/5/28,5765.560059,5796.72998,5652.589844,5669.529785,5669.508789,0
2002/5/29,5620.870117,5630.439941,5565,5623.22998,5623.208984,0
2002/5/30,5646.439941,5751.890137,5646.439941,5736.189941,5736.168945,0
2002/5/31,5718.290039,5718.290039,5645.950195,5675.649902,5675.628906,0
2002/6/3,5628.27002,5628.27002,5517.620117,5571.080078,5571.05957,0
2002/6/4,5443.870117,5535.620117,5443.870117,5527.799805,5527.779297,0
2002/6/5,5583.879883,5626.310059,5567.060059,5599.419922,5599.398926,0
2002/6/6,5613.660156,5656.910156,5578.060059,5591.02002,5590.999023,0
2002/6/7,5472.620117,5523.819824,5423.259766,5433.02002,5432.999512,0
2002/6/10,5477.009766,5520.180176,5442.640137,5499.330078,5499.30957,0
2002/6/11,5536.870117,5540.560059,5391.75,5405.419922,5405.399414,0
2002/6/12,5380.069824,5422.700195,5357.120117,5399.959961,5399.939453,0
2002/6/13,5458.209961,5580.069824,5457.509766,5562.22998,5562.209473,0
2002/6/14,5539.209961,5585.509766,5534.830078,5562.120117,5562.099609,0
2002/6/17,5589.640137,5621.049805,5531.640137,5537.810059,5537.789551,0
2002/6/18,5625.149902,5625.149902,5516.540039,5536.419922,5536.399414,0
2002/6/19,5532.279785,5565.459961,5388.459961,5399.5,5399.479492,0
2002/6/20,5333.830078,5445.77002,5264.350098,5445.77002,5445.749512,0
2002/6/21,5377.549805,5516.549805,5357.509766,5460.529785,5460.509277,0
2002/6/24,5440.609863,5467.25,5361.290039,5384.890137,5384.870117,0
2002/6/25,5419.930176,5432.379883,5299.189941,5316.040039,5316.020508,0
2002/6/26,5225.580078,5233.759766,5094.419922,5123.040039,5123.020508,0
2002/6/27,5144.569824,5172.669922,5048.310059,5071.759766,5071.740723,0
2002/6/28,5143.410156,5181.370117,5109.830078,5153.709961,5153.69043,0
2002/7/1,5124.5,5124.5,4947.629883,4969.319824,4969.300781,0
2002/7/2,4881.120117,5005.25,4881.120117,4995.080078,4995.061035,0
2002/7/3,4901.700195,5054.25,4808.160156,5047.819824,5047.800781,0
